sample,XRF_depth_cm,Phytol_%,Cholesterol_%,Cholestanol_%,Brassicasterol_%,Campesterol_plus_x_%,Campestanol_plus_x_%,Stigmasterol_%,unknownM48620.75min_%,Fungisterol_%,Sitosterol_plus_x_%,Chondrillasterol_%,Sitostanol_%,b_Amyrin_%,unknown_d5unsaturated_C30sterolM498_%,a_Amyrin_plus_22dihydrochondrillasterol_plus_Lupeol_%,Triterpenoid_mz_189_371_plus_x_%,Dinostanol_plus_x_%,maybe_Lanosterol_plus_x_%,Friedelin_plus_x_%,Tetrahymanol_%,Diplopterol_%,C13.0.FAME_%,C14.0.FAME_%,C15.0.FAME_%,C16.0.FAME_%,C17.0.FAME_%,C18.0.FAME_%,C20.0.FAME_%,C21.0.FAME_%,C22.0.FAME_%,C23.0.FAME_%,C24.0.FAME_%,C25.0.FAME_%,C26.0.FAME_%,C27.0.FAME_%,C28.0.FAME_%,C29.0.FAME_%,C30.0.FAME_%,C31.0.FAME_%,C32.0.FAME_%,C33.0.FAME_%,C34.0.FAME_%,C36.0.FAME_%
1_A_18-20_EDGE,29.3,9.127323656,1.086528916,0.661051885,1.312488469,1.314892293,0.31970873,0.951914714,0,0.762012536,2.189884607,0.718743685,1.093740391,0.70672456,0.831723462,1.276431093,0.257209279,0.573793036,0.02403825,0,0.733166636,1.262008143,0.027170277,0.64921655,0.254577843,6.190805033,0.289306049,3.293152385,2.649867374,0.527907003,5.482177419,1.348659845,15.4246811,1.321680908,14.66314798,1.350860254,16.79850215,0.55249419,2.519660518,0.178998551,0.826397371,0.068308373,0.379044499,0
7_B_68-70_EDGE,523.8895522,4.922980957,1.43386236,0.598914513,0.833342178,1.315042859,0.518631066,0.695254649,0,0.3773322,4.890867578,1.441890705,0.993909071,2.076129934,1.395326305,1.571949888,1.082220863,0,0.348430159,6.994293885,0.529870749,1.26687279,0.07016676,0.625754021,0.439399635,4.420644889,0.468550818,1.913550419,2.949413856,0.396947355,5.98493725,0.814750088,7.644052062,1.001706962,14.2009828,1.26193573,16.56639974,0.618107049,4.833905784,0.191869475,1.716861036,0.058951201,0.533990359,0
8_A_68-70_EDGE,653.3188679,5.282517834,1.51035544,0.750209445,1.324045147,1.469367176,0.680653603,0.823491494,0.526637094,0.49434331,5.04279859,1.435831323,1.189901736,3.331228035,0.992412826,1.921480153,1.491724411,0.318342187,1.28554102,3.7125431,1.097988659,1.59978438,0.143478029,0.950163899,0.405111421,5.520033968,0.385632446,2.164319171,3.37268201,0.529059215,6.542116293,0.912948805,8.023287305,1.113069643,12.59638678,1.077751186,13.38482393,0.654237259,3.962484871,0.208783856,1.394387051,0.05787306,0.320172837,0
9_A_78-80_EDGE,986.8263158,9.11120326,1.92577005,1.808683231,0.674789825,1.395798132,0.508403293,2.092156582,0,0.178711461,3.512604571,0,2.582072483,1.118487245,0.579271631,1.968907299,0.191036389,0.484985929,1.401960596,0,0.194117621,0.835013894,0.121391655,1.777458008,0.859916028,12.66525445,0.559594478,3.822872305,3.679991523,1.019111009,6.348590578,1.290663439,7.499443109,0.976395882,10.74561734,1.176376354,9.345929463,0.838426899,4.326682759,0.312601053,1.294610422,0.145512106,0.629587643,0
1_A_48-50_EDGE,59.3,11.62576971,1.29722224,1.63198927,1.558143601,2.508291201,0.77784104,0.782764084,0,0.157537426,4.521816424,0,2.756904951,1.752603861,1.124915681,1.700911894,0.632611225,0.461043123,0.347074641,0.223998527,0.563688602,0.77784104,0,0,0.177085548,2.858383096,0.517359796,2.446242292,2.855603728,0.62575521,6.651031427,1.83160456,12.48969283,2.240965996,11.97550946,1.670401123,10.23006535,1.109762572,5.347507091,0.384347109,1.301539074,0.050425705,0.026602538,0.00714695
1_C_18-20_EDGE,229.8,24.32337434,4.446397188,3.0228471,2.231985941,3.057996485,1.054481546,2.231985941,0,1.010544816,20.42179262,2.741652021,7.23198594,3.119507908,2.592267135,7.996485061,10.19332162,0,0.386643234,1.968365554,0.474516696,1.493848858,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
2_C_8-10_EDGE,494.8,4.793180207,1.336760076,0.620489879,0.641311687,1.338842256,0.583010625,0.753749451,0,0.297751855,5.680189231,1.111884549,1.363828426,1.871880542,1.326349171,2.105084792,2.157139311,0.17573606,0.445586692,5.609395083,0.520545201,1.34925316,0.250552101,1.013643378,0.673198539,5.096987448,0.577120333,2.048406869,3.907831449,0.520189622,6.231654368,0.991668693,8.283682991,1.2514583,14.28627162,1.219717089,14.5813428,0.499232284,3.378322933,0.17465805,0.776805108,0.02266648,0.132621292,0
4_B_68-70_EDGE,904.3,1.795024271,0.808502667,0.934599414,0.541474263,0.875259768,0.215106214,0.556309175,0,0.111261835,4.902938193,3.894164224,1.839529005,3.679058009,0.111261835,3.256263037,0.934599414,0.178018936,0.853007401,4.680414525,0.407960062,0.593396453,0.019060619,0.382890674,0.39008336,5.020015614,0.316118568,1.892995189,2.697976679,0.573017352,6.588261012,1.222876571,10.02432719,1.96516181,13.45403984,1.752258292,12.43363739,1.306671368,5.81384844,0.649739341,1.875612864,0.157879467,0.295379656,0
1_B_58-60_EDGE,169.8,7.821636408,1.326884748,1.080130742,0.682065318,1.247737237,0.444622784,1.717966568,0,0.456262124,3.584916687,0.828721,1.894884535,1.403704391,0.409704764,1.517769922,0.670425978,0.141999947,0.321245781,0.141999947,0.225803194,1.096425818,0.108583357,0.767972032,0.666813178,4.652007985,0.602034389,1.774270611,3.057503152,0.915905255,7.506543787,1.34828975,11.13861067,2.643958335,12.94684838,2.043594457,14.36075217,0.885557599,4.998917888,0.338278919,1.77603393,0.076472381,0.376143885,0
2_A_58-60_EDGE,345.3,4.746659797,0.99139097,0.625583607,0.625583607,0.736916283,0.298654321,0.809370881,0,0.387013587,4.403825843,1.272373438,1.035570603,1.161040762,0.853550514,2.283203446,2.155966103,0.056726649,0.02650778,2.228420701,0.245638761,0.673297611,0.074756693,0.543455193,0.439725156,3.637862959,0.38444347,1.36987882,2.56537091,0.684700243,6.300608903,1.197337092,9.193638264,3.192739467,14.89024862,2.070022402,17.63294459,0.897216985,6.281885564,0.368385131,2.017610717,0.099493369,0.540380192,0
2_B_8-10_EDGE,394.8,4.51015361,1.372446317,0.657363306,0.854572298,0.843349022,0.41205456,0.785629317,0,0.375178082,4.505343633,1.327553213,1.194477227,1.045367989,0.925118604,2.217398663,1.827790656,0,0.136282637,2.10356258,0.206828943,0.840142371,0.085750127,0.707021474,0.45561011,4.030867668,0.396163362,1.642320685,3.545840038,0.70418538,6.793278531,1.238761236,8.886982989,2.664204168,14.21555815,1.867317452,17.60791547,0.798944275,5.353043424,0.315974203,1.854694053,0.079521843,0.615432331,0
3_A_98-100_EDGE,657.3,4.54393662,1.204844481,0.630304336,0.780698668,1.405933532,0.402178102,0.669170287,0,0.376830742,4.410440527,1.441419835,0.787457964,3.391476681,0.882088105,1.706722196,1.307923742,0.154111945,1.414382652,3.114345552,0.93954212,1.424521595,0.054846262,0.563702348,0.311158337,5.05523443,0.374126871,2.16998609,3.958560388,0.977603226,8.292336197,1.103037884,8.55409103,1.671848053,13.3144954,1.220182802,14.31663291,0.763325997,4.171916534,0.288131281,1.480765349,0.088256428,0.2814325,0
4_B_18-20_EDGE,854.3,4.004574055,1.114675253,0.626549488,0.81354294,0.930110287,0.429842091,0.541552465,0,0.11413886,8.868832293,1.253098977,1.707225932,4.125998375,0.580408247,3.358596677,1.08310493,0.469912116,1.595515558,3.601445314,0.641120407,2.647050165,0.013064463,0.702138929,0.297545676,5.671799882,0.294406154,2.502199123,2.46067641,0.545061548,5.21231563,1.121417043,9.89486222,1.503223442,9.861846602,1.348880484,10.79661399,1.227553146,5.63604984,0.445001941,1.585559941,0.11930184,0.253187267,0
6_B_68-70_EDGE,256.1181818,5.763669069,1.05233977,0.643019702,0.420382773,0.833851355,0.319435594,0.883633526,0,0.253059366,5.416576713,0.933415696,1.468574029,1.032980037,1.024683009,2.366035934,2.209775234,0,0.175620435,2.744933565,0.225402605,0.800663242,0.045122216,0.721292503,0.401252102,4.531198615,0.393959623,1.519197473,2.786638671,0.583646955,7.101341804,1.195137922,9.711800802,1.452322122,14.34617143,1.699396295,16.35715547,1.001224266,5.38963945,0.24504388,1.504281038,0.053616297,0.392509414,0
1_A_28-30_EDGE,39.3,9.578639065,2.376096513,2.074716624,2.288740023,2.970120641,1.078852644,1.817014979,0,0.262069468,4.166904545,0,2.751729416,1.834486278,1.607359405,1.882532347,0.511035463,0.104827787,0.183448628,0.155931334,1.058323869,1.433956774,0,0.316842698,0.477568022,6.591028523,0.921958798,3.814646,3.666269985,0.57894294,6.995790923,1.544953748,10.37839546,1.502929237,11.21519932,1.107198421,7.682006958,0.598296333,3.073503191,0.231872085,1.055589372,0.036679288,0.057875862,0.015667033
7_B_78-80_EDGE,536.5761194,4.80317269,1.336389142,0.601095534,0.68496933,1.772532879,0.559158637,0.724110435,0,0.343882562,5.074364629,1.218965828,1.137887826,2.748264699,3.461191961,1.906730952,3.430438236,0,0.271191939,7.327773934,0.659807191,1.171437344,0.061926236,0.484950176,0.30321272,3.389659098,0.359077079,1.77981469,2.951183314,0.386058375,5.090907105,0.743352549,7.253808662,1.154728176,13.69211655,1.290228961,16.81017977,0.64505505,3.698101673,0.137759131,0.527621037,0,0,0.0068939
8_A_78-80_EDGE,664.9789474,3.516773812,1.059802961,0.766738476,0.466858539,1.455099242,0.541828523,0.558867156,0,0.395296281,4.511829968,1.622077844,1.039356601,3.59855925,0.483897172,1.598223758,1.185888844,0.189128824,0.31691857,2.160498641,0.916678445,1.444876062,0.053657912,0.749261933,0.314411978,5.440106754,0.395223652,2.549855157,2.736943276,0.554378475,4.734368793,0.888408721,7.883555542,1.359636921,13.37121386,1.540878537,20.28554901,1.151111622,6.153769974,0.319219103,1.623768967,0.027283684,0,0.038197158
9_A_88-90_EDGE,1001.149462,9.339672224,1.393580935,1.621377818,1.426123346,3.977831294,0.916930313,0.962872541,0,0.04211371,6.954504855,0,3.985488333,0.802074741,0.608734529,2.297111431,0.440279691,0.449085285,1.142812937,0.139740945,0.264167815,0.723590101,0.020483295,1.068134141,0.5111172,10.88885543,0.614391616,3.980301069,3.240757592,0.577178509,9.381349237,1.13827066,8.155568791,1.071029686,9.023159676,1.010008769,7.585682764,0.441087924,2.808999755,0.130513981,0.655679934,0.045578013,0.148852428,0.014906691
1_A_98-100_EDGE,109.3,8.554631194,1.758428818,1.32090506,1.370907775,1.666757174,0.495860259,0.941717803,0,0.154175039,5.11277763,0,2.508469547,1.22089963,0.262514255,1.437578062,0.545862974,0.370853471,0.816711015,0.416689293,0.541696081,1.591753101,0.062795372,1.694053261,0.795723996,8.063044241,0.622859001,3.531351059,3.448887702,0.725701233,6.674200184,1.513131501,10.5215423,1.81478625,10.52130533,1.613959541,9.040874817,1.058161259,4.764154542,0.396914143,1.528415657,0.126775562,0.379971241,0.012203629
1_C_28-30_EDGE,239.8,5.741261859,0.898074481,0.620099046,0.494475533,0.702957109,0.219172939,0.48645701,0,0.211154417,4.479681041,0.727012675,1.448679668,0.994296747,0.70830279,1.916426794,2.036704625,0.041963599,0.126158082,0.654845976,0.280648275,0.481111329,0.0174446,0.516823886,0.409727289,4.267412948,0.475420562,1.440725248,2.633693009,0.632532374,6.254330839,1.012670088,8.991366541,1.523642304,14.23578752,1.990671792,19.17680494,1.023490156,7.92669388,0.41833918,2.95089767,0.113279493,0.689613756,0.02914794
3_A_38-40_EDGE,597.3,4.693711674,1.073191365,0.621826764,0.655439021,1.546163845,0.300109442,0.713060034,0,0.773081923,4.112699793,3.342018746,1.202838644,3.286798609,1.207640395,2.710588481,1.980722318,0,0.60261976,5.382762951,0.765879296,0.96275109,0.109858844,0.83515829,0.500960178,4.502672059,0.532348419,1.863171326,2.895420809,0.489213658,5.022599978,0.743111792,6.571214913,1.01414829,12.19654615,1.173111437,16.87435689,0.709316477,5.423811022,0.256016359,1.850654543,0.062776482,0.414209242,0.025418698
4_C_18-20_EDGE,954.8,3.876569461,1.118431529,1.200911731,0.54107012,1.289990348,0.458589919,0.834699637,0,0.194653275,5.832999835,0,1.629808778,3.62582965,0.240842188,3.160641314,0.339818429,0.297588566,1.398864214,1.276793516,0.481684376,0.468487543,0.009483584,0.463510192,0.425180704,6.285640766,0.365644868,2.446501364,2.579403263,0.714298315,4.411315665,1.107208488,9.052608256,1.920425858,14.46009544,1.787655675,13.42019406,1.545429121,6.742169985,0.733133767,2.571500276,0.227869461,0.412799358,0.049657102
1_B_68-70_EDGE,179.8,6.116975928,1.236177428,0.933440099,0.627339021,1.131901237,0.420468513,0.731615213,0,0.405331647,3.876719689,1.34886299,1.675146556,1.338771745,0.349829803,1.848379583,0.856073893,0.182819709,0.277509219,0.284236715,0.317874196,1.141992481,0,0.016458343,0.142587699,3.032026674,0.521437217,1.979461814,3.311510871,0.638799045,7.704965514,1.214533412,9.698578425,1.383731329,15.43884849,1.848717969,19.55727961,0.84168273,5.860092952,0.206113826,1.326665487,0.02445679,0.084445142,0.066141004
2_A_68-70_EDGE,355.3,5.641700348,1.359014981,0.615133096,0.718847398,0.829714409,0.312931081,0.83686712,0,0.24676851,5.607724973,1.019261235,1.148010023,1.418024842,1.103305583,2.301384579,3.036325575,0.078500997,0.069738927,2.846778748,0.302202015,0.740305529,0,0.035827472,0.137079025,2.701547189,0.318864504,1.750094139,3.476043677,0.660627436,7.754778508,0.999898022,8.636757416,1.263152058,14.42632118,1.66161586,18.38821654,0.791475596,5.348106994,0.204372364,1.112520903,0.016200248,0.043927597,0.040033306
2_B_98-100_EDGE,484.8,5.225493996,2.008653264,0.828756691,1.169911554,1.499417226,0.54418361,0.717257297,0,0.324513162,6.147444211,1.136628153,1.459477145,2.228323714,1.268097587,2.186719462,2.514560964,0.207688424,0.397736645,4.038940741,0.497586849,1.512730587,0,0.125887598,0.184695207,3.267917544,0.465464683,2.204056772,5.268522921,0.570057047,6.634694121,0.899641753,7.625168239,1.162555994,14.1347119,1.224557889,15.03902223,0.51215039,3.678096522,0.128262836,0.847386524,0.016544759,0.069045703,0.027438091
3_B_28-30_EDGE,687.8,4.849408382,1.27624313,0.725675945,0.43603659,1.585444185,3.358617582,0.859768239,0.418052447,0.459068913,2.541443365,0.810863991,4.267290068,3.327066454,1.015946323,1.102711925,0.15775564,0.539839801,0.407009552,2.808050397,0.810863991,2.531978027,0,0.060839609,0.098908155,3.622700954,0.285163773,2.768260605,3.465171908,0.722718505,5.927716397,0.929409692,7.539557328,1.117300155,11.7977461,1.182226878,18.01237789,0.886553384,5.312430597,0.224791262,1.549366478,0.051264085,0.109768201,0.046593098
4_B_28-30_EDGE,864.3,2.076315374,0.997226739,0.816138301,0.756602376,1.081569299,0.773967021,0.377060856,0,0.128994503,9.347140177,0,3.322352665,4.094831287,0.478768061,3.448122304,1.079088635,0.495388507,2.282210446,3.366260408,0.501094033,2.57989007,0,0.199628066,0.194841779,5.704656186,0.356777833,3.31031596,3.746665819,0.83899628,7.323617868,1.351727307,10.13137366,1.628933114,8.953149269,1.315231867,9.245910508,0.993553474,4.974747372,0.349598402,1.3293913,0,0,0.047862873
4_C_8-10_EDGE,944.8,2.461178064,0.954838312,1.028920595,0.584426898,1.070077419,0.485650521,0.625583722,0,0.230478213,4.658952454,2.979754043,0,6.47479152,0.123470471,3.876972802,0.510344615,0,1.827362977,2.494103523,0.658509181,1.36640655,0,0,0,2.00925186,0.248173626,2.292742502,2.745182113,0.588935106,3.976505106,0.894379569,9.074564101,1.921436576,15.96329126,1.9777529,14.68137903,1.642718504,6.989905639,0.639524345,1.942435884,0,0,0
6_B_78-80_EDGE,266.1181818,4.255912416,1.017644932,0.630131134,0.468386244,0.906445321,0.360556317,0.795245709,0,0.205550798,6.035106204,0.956990599,1.573642991,1.209716989,1.105256748,2.675530054,3.19109189,0,0.181963001,2.250949718,0.32348978,0.788506338,0,0.221708949,0.207598024,3.378012079,0.325986297,1.588077046,2.710971885,0.601029762,6.015798485,1.029619229,8.526108225,1.474711305,15.21612195,1.938697672,20.01814166,0.870811525,5.870384201,0.151632658,0.911709292,0,0,0.01076257
1_A_58-60_EDGE,NA,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,0,0.924853493,1.41407506,15.19352776,1.777101665,8.014244471,7.15508151,1.263678324,10.18376061,2.319912874,13.92639203,2.290525006,13.48211662,1.811675627,10.65915259,1.460749909,5.900046675,0.37685619,1.846249589,0,0,0
7_B_88-90_EDGE,549.2626866,4.894660803,1.084288088,0.448640658,0.743637255,1.616335522,0.237050837,0.50395252,0.153644061,0.207199991,4.71204386,0.388061,0.777877932,2.820904961,1.303779604,1.288854181,2.323098203,0.143459655,0.494294893,6.354718365,0.683057597,1.31343723,0.170140758,0.845058096,0.381212815,3.895273865,0.386986823,2.011664262,3.535873966,0.542628407,6.024214636,0.890736912,7.506338241,1.251804856,12.8108549,1.361511001,16.73333077,0.833895014,5.782604496,0.289726872,1.823559924,0.0671068,0.335790622,0.026688746
8_A_88-90_EDGE,679.8210526,5.504473141,1.422475754,1.026214651,1.432636295,2.051159234,0.863645993,0.599471925,0.516917528,0.476275364,6.078543712,1.463117918,1.861919157,4.244566043,1.149411212,1.954634094,1.839057939,0.347744519,0.346728465,3.425372418,1.206564255,3.271694235,0.011935504,0.471079412,0.251764531,4.921903341,0.328972321,2.607161591,3.075257127,0.598267123,5.380301281,0.830636461,7.58613156,1.064870721,10.67705404,0.992138746,13.28533458,0.626613945,4.519453076,0.288317011,1.364377268,0,0,0.035806511
9_A_98-100_EDGE,1009.966667,12.52495881,1.560204147,1.527469225,1.345501571,4.088014076,1.15486879,0.914170835,0.703800821,0.304242216,3.35051554,0,2.598093731,0.506909894,0.577675093,0.885768476,0.313870134,0.566651126,0.807782338,0.434219112,0.514130833,1.849523089,0.062028817,0.994945771,0.444140527,8.05300872,0.616561115,3.088751111,3.241027863,1.405454078,7.793268595,1.572372825,7.826989555,1.37155564,11.28897844,1.4023482,9.089661992,0.596949715,3.024060113,0.231254788,0.906561362,0.096104733,0.215725399,0.149880789
1_B_18-20_EDGE,129.8,3.954671819,1.728055614,1.138847642,0.840286826,1.963307148,2.133091131,0.905034955,0.054676198,0.158992627,3.346039408,0,2.596399963,0.694963249,0.866186078,0.871941467,0.081294873,0.707912874,0.82517893,0.502157709,0.415826871,1.117984356,0,0.265905674,0.229736516,4.533866349,0.380150325,2.138470303,2.734388364,0.591926983,6.329353255,1.564503177,11.01662672,2.244982237,14.26711156,2.286888573,15.15163456,1.386900138,6.691543722,0.504871561,2.11701825,0.139188899,0.50986041,0.012222681
2_B_38-40_EDGE,424.8,5.883201151,1.961966004,0.786134832,1.320787423,1.011996897,0.479366951,0.760514657,0.076186309,0.233952647,4.748497101,0.743659279,1.155604718,1.144143061,0.94390117,2.050288184,2.109619116,0,0.171250641,1.483273267,0.298003084,1.281008731,0.031931986,0.394138597,0.255378192,2.655871044,0.315823654,1.095787655,2.450915865,0.392895503,5.444287019,0.759919105,6.890549583,1.274327078,14.98052982,1.77793567,21.79128827,0.859522038,6.668812632,0.321728352,2.263053234,0.086628136,0.623489502,0.021831844
3_A_48-50_EDGE,607.3,5.90803356,1.375808336,0.718221484,2.427093289,2.277641732,0.441522601,0.86852705,0.358683737,0.631966585,5.200060183,2.13160621,1.525259893,3.357962988,1.183656333,2.374144738,2.141854318,0.200094285,0.759213911,5.142841587,0.854008899,1.482559448,0.010236949,0.204572517,0.189591617,2.636222324,0.255507578,1.405957496,2.502809083,0.47672554,4.807454147,0.76843696,6.661590245,1.132056702,12.03540565,1.245495409,16.34316354,0.747130791,5.067622449,0.243273176,1.54469728,0.05426415,0.283804834,0.023220396
4_C_48-50_EDGE,968.3,12.45881437,1.850330408,1.28286493,0.724645325,1.829527193,4.152552879,0.810169654,0.336318644,0.316671163,2.407394279,0,2.117305002,0.923431603,0.805546718,1.353364715,0.182605999,0.997976457,1.293266538,0.173360126,0.39063815,0.591735896,0.033436876,0.739070269,0.464080785,8.625561123,0.513083104,3.251832316,3.005859892,0.98946251,4.523778781,1.217755666,7.827111575,1.457194448,12.05975893,1.718924481,11.33990526,0.978701216,4.21688975,0.300739722,1.209300364,0.118566395,0.29132359,0.119142893
1_B_8-10_EDGE,119.8,11.37290726,3.321809046,2.25742657,1.933823107,5.641617007,3.306213699,1.875340553,0.21443603,0.460062755,7.633922667,0,6.351205324,1.228133626,1.902632411,1.809060326,1.173549909,1.125594216,1.567332437,1.76617312,1.002001085,1.02149527,0,0.352881748,0.322115797,5.965629045,0.439619488,2.859009371,3.201882917,0.557864528,5.209083196,0.928167959,5.965999717,1.010086936,5.945241969,0.835499432,5.47856327,0.611982947,2.490929984,0.236860753,0.623844518,0,0,0
2_A_78-80_EDGE,365.3,6.248612868,1.779834444,0.915170265,0.733348358,1.521243288,4.424333067,0.925271482,0.054546572,0.36162357,4.781916152,0.896988074,3.648559599,3.789976638,0.494959636,1.739429576,0.95355489,0.305460804,0.169700446,3.759672986,0.329299676,1.111133876,0.034869702,0.668088645,0.502643039,6.00463681,0.569043854,2.329963786,3.309283065,0.462209024,5.531670114,0.682555862,6.303996909,0.947417212,10.32328645,1.233422957,13.85810972,0.672169142,5.626634407,0.300102006,1.673745678,0,0,0.021515348
2_C_18-20_EDGE,504.8,6.453752187,1.854469105,0.740567231,1.383501629,1.837272412,0.610759941,0.827105425,0.135909342,0.331729741,6.038257912,0.865936665,1.241490235,2.123514129,1.274774155,1.726326011,1.751288951,0.267713667,0.330620277,5.602793285,0.507579788,1.397924661,0.06839172,0.692727865,0.452135565,4.900650545,0.466441996,1.835410435,2.54279367,0.295986103,4.146509707,0.573391292,5.507539822,0.991592701,12.23653482,1.234365859,17.26384962,0.758502554,6.118703584,0.280981797,1.82625083,0.061064035,0.424220577,0.018668148
