sample,XRF_depth_cm,age_BP_1950,Tetrahymanol_ug_gTOC,Tetrahymanol_ug_gsed
1_A_18-20_EDGE,29.3,-10.3871785,55.97327367,2.766758918
1_A_28-30_EDGE,39.3,4.047767,62.51366958,2.594942424
1_A_38-40_EDGE,#NV,#NV,#NV,#NV
1_A_48-50_EDGE,59.3,26.772938,29.4391181,1.236737351
1_A_58-60_EDGE,#NV,#NV,#NV,#NV
1_A_68-70_EDGE,79.3,443.318086,#NV,#NV
1_A_78-80_EDGE,89.3,507.73121,2.207817493,0.083234719
1_A_8-10_EDGE,19.3,-17.289543,194.2154676,11.05668657
1_A_88-90_EDGE,#NV,#NV,#NV,#NV
1_A_98-100_EDGE,109.3,799.23093,22.50741576,1.656095652
1_B_18-20_EDGE,129.8,1291.21188,22.74082804,1.695556139
1_B_28-30_EDGE,139.8,1320.182156,39.46417166,4.759379102
1_B_38-40_EDGE,149.8,1503.26506,24.04092192,4.99426112
1_B_48-50_EDGE,#NV,#NV,#NV,#NV
1_B_58-60_EDGE,169.8,1778.97214,11.09277015,2.002799651
1_B_68-70_EDGE,179.8,2052.7476,12.52622858,2.931388012
1_B_78-80_EDGE,189.8,2300.52796,25.21629698,6.05065046
1_B_8-10_EDGE,119.8,1073.98394,42.49722589,1.971871281
1_B_88-90_EDGE,#NV,#NV,#NV,#NV
1_B_98-100_EDGE,#NV,#NV,#NV,#NV
1_C_18-20_EDGE,229.8,3164.735032,5.506546961,1.126033788
1_C_28-30_EDGE,239.8,3411.46018,16.02684011,2.838032847
1_C_38-40_EDGE,249.8,3447.26196,26.44888585,6.117362808
1_C_48-50_EDGE,259.8,3498.179666,14.05758506,2.792679848
1_C_8-10_EDGE,219.8,3107.96384,26.00776905,4.070215856
2_A_38-40_EDGE,#NV,#NV,#NV,#NV
2_A_48-50_EDGE,#NV,#NV,#NV,#NV
2_A_58-60_EDGE,345.3,4301.257538,16.34809217,2.987613844
2_A_68-70_EDGE,355.3,4448.82176,15.06931864,2.747588868
2_A_78-80_EDGE,365.3,4626.04132,12.80327784,2.94321751
2_A_88-90_EDGE,375.3,4827.85237,23.75775046,5.472597818
2_A_98-100_EDGE,385.3,4974.434339,10.3339714,2.249602234
2_B_18-20_EDGE,404.8,5419.91659,25.53137657,5.832387664
2_B_28-30_EDGE,#NV,#NV,#NV,#NV
2_B_38-40_EDGE,424.8,5953.54755,22.54102329,5.683493612
2_B_48-50_EDGE,434.8,6058.197182,25.15643271,6.342942943
2_B_58-60_EDGE,#NV,#NV,#NV,#NV
2_B_68-70_EDGE,454.8,6357.42537,30.76067884,6.332700953
2_B_78-80_EDGE,464.8,6627.66333,55.27549146,10.12868106
2_B_8-10_EDGE,394.8,5102.59771,11.40724792,2.492141453
2_B_88-90_EDGE,#NV,#NV,#NV,#NV
2_B_98-100_EDGE,484.8,6914.589826,25.13192616,4.634075865
2_C_18-20_EDGE,504.8,7029.95075,29.80828215,5.529734422
2_C_28-30_EDGE,514.8,7140.875294,46.07475345,7.335561497
2_C_38-40_EDGE,524.8,7179.905794,#NV,#NV
2_C_48-50_EDGE,#NV,#NV,#NV,#NV
2_C_8-10_EDGE,494.8,6936.603052,26.8704955,4.728132388
3_A_38-40_EDGE,597.3,7924.68915,44.76606916,5.160184792
3_A_48-50_EDGE,607.3,8019.649601,60.92434452,7.40779105
3_A_58-60_EDGE,617.3,8102.702282,54.80176673,5.79802692
3_A_68-70_EDGE,627.3,8200.89188,52.53905668,5.52448181
3_A_78-80_EDGE,#NV,#NV,#NV,#NV
3_A_88-90_EDGE,#NV,#NV,#NV,#NV
3_A_98-100_EDGE,657.3,8532.09519,53.6010024,4.398498257
3_B_18-20_EDGE,677.8,8657.04177,#NV,#NV
3_B_28-30_EDGE,687.8,8729.743282,42.0190886,3.335895444
3_B_38-40_EDGE,697.8,8956.93219,48.91145996,3.837593148
3_B_48-50_EDGE,707.8,9023.302667,55.23766328,4.232862137
3_B_58-60_EDGE,717.8,9114.46956,58.55481586,4.294410195
3_B_8-10_EDGE,667.8,8573.081766,#NV,#NV
4_A_58-60_EDGE,794.3,9720.127918,45.74795349,2.242107201
4_A_68-70_EDGE,#NV,#NV,#NV,#NV
4_A_78-80_EDGE,#NV,#NV,#NV,#NV
4_A_88-90_EDGE,#NV,#NV,#NV,#NV
4_A_98-100_EDGE,#NV,#NV,#NV,#NV
4_B_18-20_EDGE,854.3,10719.71486,34.34734293,1.652450668
4_B_28-30_EDGE,864.3,10881.99338,19.64338545,0.983740743
4_B_38-40_EDGE,874.3,10943.70193,32.50533748,1.686701962
4_B_48-50_EDGE,884.3,11010.92086,15.92772558,0.868538876
4_B_58-60_EDGE,894.3,11124.28358,6.706574564,0.381469961
4_B_68-70_EDGE,904.3,11236.14507,21.68729947,1.32162403
4_B_8-10_EDGE,844.3,10362.2459,81.97052174,3.923928876
4_C_18-20_EDGE,954.8,11849.7688,24.14598931,2.056755369
4_C_28-30_EDGE,#NV,#NV,#NV,#NV
4_C_38-40_EDGE,#NV,#NV,#NV,#NV
4_C_48-50_EDGE,968.3,12153.5278,18.09306531,1.343229169
4_C_58-60_EDGE,978.3,12257.7559,14.92529213,0.745667595
4_C_78-80_EDGE,#NV,#NV,#NV,#NV
4_C_8-10_EDGE,944.8,11748.00497,89.63986011,1.653855419
5_A_58-60_EDGE,#NV,#NV,#NV,#NV
5_A_78-80_EDGE,#NV,#NV,#NV,#NV
5_A_88-90_EDGE,#NV,#NV,#NV,#NV
5_A_98-100_EDGE,#NV,#NV,#NV,#NV
5_B_18-20_EDGE,#NV,#NV,#NV,#NV
5_B_28-30_EDGE,#NV,#NV,#NV,#NV
5_B_38-40_EDGE,#NV,#NV,#NV,#NV
5_B_48-50_EDGE,#NV,#NV,#NV,#NV
5_B_58-60_EDGE,#NV,#NV,#NV,#NV
5_B_68-70_EDGE,#NV,#NV,#NV,#NV
5_B_78-80_EDGE,#NV,#NV,#NV,#NV
5_B_8-10_EDGE,#NV,#NV,#NV,#NV
5_B_88-90_EDGE,#NV,#NV,#NV,#NV
5_B_98-100_EDGE,#NV,#NV,#NV,#NV
5_C_18_20 EGDE + 20-22 EXTRA,#NV,#NV,#NV,#NV
5_C_38_40 EGDE + 40-42 EXTRA,#NV,#NV,#NV,#NV
5_C_58_60 EGDE + 60-62 EXTRA,#NV,#NV,#NV,#NV
5_C_78_80 EGDE + 80-82 EXTRA,#NV,#NV,#NV,#NV
5_C_90-93_EDGE+EXTRA,#NV,#NV,#NV,#NV
6_B_48-50_EDGE,#NV,#NV,#NV,#NV
6_B_58-60_EDGE,#NV,#NV,#NV,#NV
6_B_68-70_EDGE,256.1181818,3479.286158,10.84857154,2.033998678
6_B_78-80_EDGE,266.1181818,3532.042874,17.7980159,3.395683454
6_B_88-90_EDGE,278.8454545,3639.150413,15.34963488,3.097556319
6_B_98-100_EDGE,291.5727273,3775.041999,11.79929839,2.557969898
6_C_18-20_EDGE,307.233775,4077.487317,14.25286299,3.603408821
6_C_28-30_EDGE,313.8562914,4087.188606,32.46530458,8.072822637
6_C_8-10_EDGE,#NV,#NV,#NV,#NV
7_B_48-50_EDGE,#NV,#NV,#NV,#NV
7_B_58-60_EDGE,511.2029851,7131.72474,#NV,#NV
7_B_68-70_EDGE,523.8895522,7175.011746,30.45186331,4.338476966
7_B_78-80_EDGE,536.5761194,7336.444838,47.01976388,5.174525015
7_B_88-90_EDGE,549.2626866,7473.12724,41.30973015,5.542113397
7_B_98-100_EDGE,558.6114286,7488.574714,44.56784842,6.424901028
7_C_18-20_EDGE,576.0657143,7754.296403,42.26005927,6.430713219
7_C_28-30_EDGE,584.58,7810.472221,38.49078135,5.342520451
7_C_8-10_EDGE,#NV,#NV,#NV,#NV
8_A_58-60_EDGE,#NV,#NV,#NV,#NV
8_A_68-70_EDGE,653.3188679,8488.309903,57.10992222,4.846919099
8_A_78-80_EDGE,664.9789474,8568.997954,50.34116523,4.352497146
8_A_88-90_EDGE,679.8210526,8677.971387,67.8972813,5.198894829
8_A_98-100_EDGE,694.6631579,8871.228331,#NV,#NV
8_B_18-20_EDGE,723.6052632,9165.784265,89.97733582,6.289415774
8_B_28-30_EDGE,738.55,9281.709377,52.31929304,3.102534077
8_B_38-40_EDGE,747.9857143,9336.179104,48.71290442,3.106421915
8_B_48-50_EDGE,756.7117647,9401.071203,65.69085193,4.576681654
8_B_8-10_EDGE,#NV,#NV,#NV,#NV
8_C_68-70_EDGE,#NV,#NV,#NV,#NV
8_C_78-80_EDGE,#NV,#NV,#NV,#NV
9_A_68-70_EDGE,#NV,#NV,#NV,#NV
9_A_78-80_EDGE,986.8263158,12323.55939,6.206525347,0.568890113
9_A_88-90_EDGE,1001.149462,12453.60637,6.973329733,1.934541135
9_A_98-100_EDGE,1009.966667,12795.57638,16.05426814,3.663102362
9_B_18-20_EDGE,#NV,#NV,#NV,#NV
9_B_28-30_EDGE,#NV,#NV,#NV,#NV
9_B_38-40_EDGE,#NV,#NV,#NV,#NV
9_B_48-50_EDGE,#NV,#NV,#NV,#NV
9_B_8-10_EDGE,#NV,#NV,#NV,#NV
Blank1,#NV,#NV,#NV,#NV
Blank2,#NV,#NV,#NV,#NV
Blank3,#NV,#NV,#NV,#NV
Blank4,#NV,#NV,#NV,#NV
